fehérbor ,fn ,"~ok, ~t, ~a ",witte wijn ,5
egy üveg fehérbor ,,,één fles witte wijn ,
fej ,fn ,"~ek, ~et, ~e ",krop ,5
egy fej saláta ,,,één krop sla ,
fekete ,mn ,"~'bb, ~'n ",zwart ,5
félédes ,mn ,~en ,halfzoet ,5
félédes fehérbor ,,,halfzoete witte wijn ,
finom ,mn ,"~abb, ~an ",lekker ,5
fizet ,i ,"~ni, ~ett, fizess ",betaal ,5
Fizetni szeretnék. ,,,Ik wil graag betalen. ,
foglal vmit ,i ,"~ni, ~t, ~j ",iets reserveren ,5
"© Szita Szilvia és Pelcz Katalin, www.magyar-ok.hu Holland fordítás: Magdolna Verschoor ",,,,4
,,,MagyarOK 1.: szólista az 5. fejezethez / Woordenlijst Hoofdstuk 5 ,
Egy asztalt szeretnék foglalni négy,,,Ik wil graag een tafel voor vier personen reserveren. ,
személyre. ,,,,
fokhagyma ,fn ,"~’k, ~’t, ~’ja ",knoflook ,5
forró ,mn ,"~bb, ~n ",heet ,5
főétkezés ,fn ,"~ek, ~t, ~e ",hoofdmaaltijd ,5
Magyarországon a főétkezés az,,,In Hongarije is lunch de hoofdmaaltijd. ,
ebéd. ,,,,
főtt ,mn ,"~ebb, ~en ",gekookt ,5
főtt tojás ,,,gekookt ei ,
főtt étel ,,,gekookte maaltijd ,
főz vmit ,i ,"~ni, ~ött, főzz ",iets koken/maken ,5
Levest főzök. ,,,Ik kook/maak een soep. ,
főzelék ,fn ,"~ek, ~et, ~e ",een soort dik gebonden groeteragout ,5
frissensült ,mn ,"~ebb, ~en ",vers gebakken vlees ,5
fűszer ,fn ,"~ek, ~t, ~e ",kruid ,5
Sok fűszert használok. ,,,Ik gebruik veel kruiden. ,
fűszeres ,mn ,"~ebb, ~en ",kruidig ,5
A magyar ételek fűszeresek. ,,,De Hongaarse gerechten zijn kruidig. ,
galuska ,fn ,"~’k, ~’t, ~’ja ",Hongaarse knoedeltjes ,5
gomba ,fn ,"~’k, ~’t, ~’ja ",champignon ,5
gombóc ,fn ,"~ok, ~ot, ~a ",knoedel ,5
gondol vmit ,i ,"~ni, ~t, ~j ",iets denken ,5
Mit gondol? ,,,Wat denkt u? ,
gramm (= g) ,fn ,"~ok, ~ot, ~ja ",gram ,5
gulyás ,fn ,"~ok, ~t, ~a ",goulash ,5
gulyásleves ,fn ,"~ek, ~t, ~e ",goulashsoep ,5
gyalogol ,i ,"~ni, ~t, ~j ","wandelen, lopen ",5
gyümölcs ,fn ,"~ök, ~öt, ~e ",fruit ,5
gyümölcslé ,fn ,"~'k/levek, ~'t/levet, ~'t/leve ",fruitsap ,5
"© Szita Szilvia és Pelcz Katalin, www.magyar-ok.hu Holland fordítás: Magdolna Verschoor ",,,,5
,,,MagyarOK 1.: szólista az 5. fejezethez / Woordenlijst Hoofdstuk 5 ,
Egy gyümölcslét kérek.,,,"Eén sap, alstublieft. ",
gyümölcssaláta ,fn ,"~’k, ~’t, ~’ja ",fruitsalade ,5
hagyma (= vöröshagyma) ,fn ,"~’k, ~’t, ~’ja ",ui ,5
hal ,fn ,"~ak, ~at, ~a ",vis ,5
halászlé ,fn ,"~'k/levek, ~'t/levet, ~'t/leve ",vissoep ,5
halétel ,fn ,"~ek, ~t, ~e ",visgerecht ,5
hamburger ,fn ,"~ek, ~t, ~e ",hamburger ,5
hasábburgonya ,fn ,"~’k, ~’t, ~’ja ","friet, patat ",5
használ vmit ,i ,"~ni, ~t, ~j ",iets gebruiken ,5
A magyar konyha elég kevés,,,In de Hongaarse keuken worden weinig soorten kruiden gebruikt. ,
fűszert használ. ,,,,
hegység ,fn ,"~ek, ~t, ~e ",gebergte ,5
helyi ,mn ,"~bb, ~an ",plaatselijk ,5
helyi specialitások ,,,plaatselijke specialiteiten ,
hideg ,mn ,"~ebb, ~en ",koud ,5
hisz vmit ,i ,"hinni, hitt, higyj ",iets geloven ,5
hosszú ,mn ,"hosszabb, hosszan ",lang ,5
hosszú szoknya ,,,lange rok ,
hoz vmit ,i ,"~ni, ~ott, hozz ",iets brengen ,5
